,movie_id,gender,name
0,862,2.0,Tom Hanks
5,862,2.0,John Ratzenberger
13,8844,2.0,Robin Williams
15,8844,1.0,Kirsten Dunst
68,949,2.0,Al Pacino
69,949,2.0,Robert De Niro
70,949,2.0,Val Kilmer
71,949,2.0,Jon Voight
77,949,1.0,Natalie Portman
84,949,2.0,Danny Trejo
132,949,2.0,Philip Ettington
203,710,2.0,Pierce Brosnan
223,9087,2.0,Michael Douglas
265,10858,2.0,Anthony Hopkins
268,10858,2.0,Ed Harris
278,10858,0.0,Kevin Dunn
330,524,2.0,Robert De Niro
375,4584,1.0,Kate Winslet
376,4584,1.0,Emma Thompson
378,4584,2.0,Tom Wilkinson
379,4584,2.0,Alan Rickman
393,5,2.0,Antonio Banderas
397,5,2.0,Bruce Willis
416,9273,2.0,Jim Carrey
432,11517,2.0,Woody Harrelson
435,11517,2.0,Chris Cooper
446,8012,2.0,John Travolta
447,8012,2.0,Gene Hackman
449,8012,2.0,Danny DeVito
477,9691,2.0,Sylvester Stallone
478,9691,2.0,Antonio Banderas
479,9691,1.0,Julianne Moore
499,451,2.0,Nicolas Cage
532,9263,1.0,Cloris Leachman
564,902,2.0,Ron Perlman
622,63,2.0,Bruce Willis
624,63,2.0,Brad Pitt
625,63,2.0,Christopher Plummer
699,9598,2.0,James Cromwell
724,687,1.0,Susan Sarandon
725,687,2.0,Sean Penn
734,687,2.0,Jack Black
860,577,1.0,Nicole Kidman
897,11861,2.0,Richard Jenkins
908,807,2.0,Brad Pitt
909,807,2.0,Morgan Freeman
910,807,1.0,Gwyneth Paltrow
912,807,2.0,Kevin Spacey
958,10530,2.0,Mel Gibson
962,10530,2.0,Christian Bale
968,10530,2.0,Frank Welker
982,629,2.0,Kevin Spacey
984,629,2.0,Giancarlo Esposito
985,629,2.0,Benicio del Toro
1004,11448,1.0,Helena Bonham Carter
1201,755,2.0,George Clooney
1203,755,2.0,Harvey Keitel
1208,755,2.0,Danny Trejo
1402,400,2.0,Steve Buscemi
1405,400,2.0,Christopher Walken
1459,10534,2.0,Jeff Bridges
1507,2086,2.0,Johnny Depp
1510,2086,2.0,Christopher Walken
1525,9095,1.0,Julia Roberts
1526,9095,2.0,John Malkovich
1528,9095,2.0,Michael Gambon
1534,9095,2.0,Ciarán Hinds
1536,12158,2.0,Eddie Murphy
1584,9208,2.0,John Travolta
1669,13685,2.0,Owen Wilson
1698,9614,2.0,Adam Sandler
1699,9614,2.0,Ben Stiller
1715,688,1.0,Meryl Streep
1716,688,2.0,Clint Eastwood
1802,197,2.0,Mel Gibson
1807,197,2.0,Brendan Gleeson
1818,197,2.0,Brian Cox
1857,103,2.0,Robert De Niro
1859,103,2.0,Harvey Keitel
1887,33542,2.0,Jackie Chan
1968,78406,2.0,Alan Arkin
1995,11066,2.0,Eddie Murphy
1997,11066,1.0,Halle Berry
2080,2074,2.0,Ben Stiller
2087,2074,2.0,Josh Brolin
2088,2074,2.0,Richard Jenkins
2287,11000,2.0,Robin Williams
2288,11000,2.0,Gene Hackman
2312,9737,2.0,Will Smith
2361,22279,2.0,Alan Rickman
2394,568,2.0,Tom Hanks
2395,568,2.0,Bill Paxton
2396,568,2.0,Kevin Bacon
2398,568,2.0,Ed Harris
2421,11780,2.0,Liam Neeson
2423,11780,2.0,John Hurt
2426,11780,2.0,Brian Cox
2451,414,2.0,Val Kilmer
2452,414,2.0,Tommy Lee Jones
2453,414,2.0,Jim Carrey
2454,414,1.0,Nicole Kidman
2458,414,1.0,Drew Barrymore
2501,5894,2.0,Harvey Keitel
2506,5894,2.0,Giancarlo Esposito
2510,5894,2.0,Keith David
2536,1775,2.0,Dan Aykroyd
2566,8839,2.0,Dan Aykroyd
2568,8839,2.0,Clint Eastwood
2569,8839,2.0,Mel Gibson
2572,20649,2.0,Harvey Keitel
2573,20649,2.0,John Turturro
2577,20649,2.0,Keith David
2671,8963,2.0,Denzel Washington
2672,8963,2.0,Gene Hackman
2685,8963,2.0,Steve Zahn
2695,8068,2.0,Antonio Banderas
2699,8068,2.0,Steve Buscemi
2704,8068,2.0,Danny Trejo
2711,8512,2.0,Denzel Washington
2714,8512,2.0,Don Cheadle
2722,1572,2.0,Bruce Willis
2724,1572,2.0,Samuel L. Jackson
2760,6520,2.0,Sean Connery
2787,10428,1.0,Angelina Jolie
2827,9886,2.0,Keanu Reeves
2865,9482,2.0,Sylvester Stallone
2904,9344,1.0,Rosario Dawson
2991,2293,2.0,Ben Affleck
2999,2293,2.0,Stan Lee
3043,1642,1.0,Sandra Bullock
3133,10533,2.0,Gary Oldman
3134,10533,2.0,Robert Duvall
3174,10149,2.0,Harvey Keitel
3176,10149,2.0,Giancarlo Esposito
3181,10149,2.0,Forest Whitaker
3205,9348,2.0,Ben Kingsley
3208,9348,2.0,Forest Whitaker
3246,9348,2.0,Frank Welker
3267,281,2.0,Ralph Fiennes
3404,9560,2.0,Keanu Reeves
3412,9804,2.0,Kevin Costner
3418,9804,2.0,Dennis Hopper
3419,9804,2.0,Jack Black
3497,76,2.0,Ethan Hawke
3524,11017,2.0,Adam Sandler
3539,11017,2.0,Steve Buscemi
3551,9382,1.0,Drew Barrymore
3552,9382,2.0,Matthew McConaughey
3553,9382,2.0,James Remar
3599,1909,2.0,Johnny Depp
3612,8984,2.0,Michael Douglas
3614,8984,2.0,Donald Sutherland
3666,8467,2.0,Jim Carrey
3804,522,2.0,Johnny Depp
3811,522,2.0,Bill Murray
3998,1024,1.0,Kate Winslet
4068,628,2.0,Brad Pitt
4069,628,2.0,Tom Cruise
4070,628,1.0,Kirsten Dunst
4071,628,2.0,Antonio Banderas
4083,87729,2.0,Nick Nolte
4086,87729,1.0,Gwyneth Paltrow
